Ticker,Date/Time,Open,High,Low,Close,Volume
AAA,11/30/2016,20.93,20.93,19.39,19.79,1222690.00
AAA,12/30/2016,19.86,19.92,15.42,16.33,3599190.00
AAA,1/25/2017,16.75,18.28,15.07,15.28,17699990.00
AAA,2/28/2017,15.28,19.12,15.28,17.45,21133670.00
AAA,3/31/2017,17.31,19.15,17.08,17.77,23745510.00
AAA,4/28/2017,17.91,19.29,17.48,18.71,23532370.00
AAA,5/31/2017,18.86,24.80,18.86,22.12,42265612.00
AAA,6/30/2017,22.12,26.32,22.12,25.06,33612968.00
AAA,7/31/2017,25.06,25.67,22.81,23.86,22542450.00
AAA,8/31/2017,23.79,25.38,23.06,23.87,21976220.00
AAA,9/29/2017,24.09,26.85,23.42,25.23,34193832.00
AAA,10/31/2017,25.27,26.37,21.44,22.32,25195590.00
AAA,11/30/2017,22.32,24.01,20.70,23.65,32101260.00
AAA,12/29/2017,23.64,24.64,21.66,24.38,30249070.00
AAA,1/31/2018,24.38,26.19,22.03,23.03,32824540.00
AAA,2/28/2018,23.11,23.11,19.26,21.72,16917180.00
AAA,3/30/2018,21.72,21.72,18.99,19.10,25125580.00
AAA,4/27/2018,19.10,22.40,17.44,20.00,18215100.00
AAA,5/31/2018,19.90,20.85,17.90,20.20,18625660.00
AAA,6/29/2018,20.20,23.00,18.00,18.90,33038970.00
AAA,7/31/2018,18.90,19.10,16.75,17.15,45588720.00
AAA,8/31/2018,17.10,18.30,16.25,17.80,34125568.00
AAA,9/28/2018,17.70,18.05,16.60,17.50,33027030.00
AAA,10/31/2018,17.55,17.65,13.60,14.60,42460704.00
AAA,11/30/2018,14.60,16.00,13.50,14.85,37228760.00
AAA,12/21/2018,15.00,16.90,15.00,15.15,29962890.00
ABC,8/31/2016,22.50,22.50,18.61,19.45,111410.00
ABC,9/28/2016,19.51,19.51,17.76,18.61,41300.00
ABC,10/31/2016,17.48,19.17,17.20,18.61,28700.00
ABC,11/30/2016,18.89,22.05,18.89,19.74,68600.00
ABC,12/29/2016,20.30,23.57,19.45,23.57,57900.00
ABC,1/31/2017,20.92,20.92,20.92,20.92,3900.00
ABC,2/28/2017,19.74,21.15,19.74,19.74,14050.00
ABC,3/31/2017,19.74,22.39,18.67,18.72,54960.00
ABC,4/28/2017,19.17,19.23,14.38,14.72,24920.00
ABC,5/31/2017,15.05,20.75,15.05,18.72,11400.00
ABC,6/30/2017,19.45,31.57,19.45,28.03,550210.00
ABC,7/31/2017,28.19,29.32,18.00,23.10,1738085.00
ABC,8/31/2017,23.00,23.10,16.30,19.20,1976630.00
ABC,9/29/2017,18.80,19.80,17.50,17.90,513718.00
ABC,10/31/2017,18.00,18.10,14.80,15.70,317760.00
ABC,11/30/2017,15.80,17.40,15.00,15.90,235148.00
ABC,12/29/2017,15.80,16.50,14.10,14.80,240276.00
ABC,1/31/2018,15.20,17.30,14.50,15.20,387181.00
ABC,2/28/2018,15.30,16.90,14.00,16.10,427864.00
ABC,3/30/2018,16.00,16.30,14.10,15.30,351606.00
ABC,4/27/2018,15.00,15.50,12.50,13.20,334260.00
ABC,5/31/2018,13.50,14.20,7.50,7.90,590240.00
ABC,6/29/2018,8.00,8.20,6.60,7.30,239451.00
ABC,7/31/2018,7.20,8.80,6.40,6.90,301482.00
ABC,8/31/2018,7.10,11.20,6.70,11.20,562101.00
ABC,9/28/2018,11.50,16.70,9.00,9.80,1488020.00
ABC,10/31/2018,10.00,10.00,8.30,9.00,361504.00
ABC,11/30/2018,8.00,11.50,8.00,9.60,336871.00
ABC,12/21/2018,9.60,9.70,9.10,9.20,45273.00
AAM,1/31/2013,14.76,15.93,14.27,14.89,41280.00
AAM,2/28/2013,14.82,15.25,13.84,14.95,13540.00
AAM,3/29/2013,14.95,15.01,13.78,14.70,18660.00
