"","x"
"1","AAA"
"2","ACB"
"3","ACL"
"4","ACV"
"5","ADS"
"6","AGR"
"7","AMD"
"8","ANV"
"9","APC"
"10","APG"
"11","ASM"
"12","ATB"
"13","ATG"
"14","BCC"
"15","BCE"
"16","BCG"
"17","BFC"
"18","BID"
"19","BMC"
"20","BMI"
"21","BMP"
"22","BSI"
"23","BTP"
"24","BVH"
"25","BVS"
"26","BWE"
"27","C32"
"28","C47"
"29","CCL"
"30","CDO"
"31","CII"
"32","CMG"
"33","CMX"
"34","CNG"
"35","CSV"
"36","CSM"
"37","CTD"
"38","CTF"
"39","CTG"
"40","CTI"
"41","CTS"
"42","CVT"
"43","D2D"
"44","DAG"
"45","DAH"
"46","DBD"
"47","DCL"
"48","DCM"
"49","DGW"
"50","DHA"
"51","DHC"
"52","DHG"
"53","DHM"
"54","DIC"
"55","DIG"
"56","DLG"
"57","DPM"
"58","DPR"
"59","DQC"
"60","DRC"
"61","DRI"
"62","DRH"
"63","DST"
"64","DVN"
"65","DXG"
"66","EIB"
"67","ELC"
"68","EVE"
"69","EVG"
"70","FCM"
"71","FCN"
"72","FIT"
"73","FLC"
"74","FMC"
"75","FPT"
"76","FTM"
"77","FTS"
"78","GAS"
"79","GEG"
"80","GMD"
"81","GTN"
"82","HAH"
"83","HAG"
"84","HAI"
"85","HAR"
"86","HAX"
"87","HBC"
"88","HCD"
"89","HCM"
"90","HDC"
"91","HDG"
"92","HID"
"93","HHS"
"94","HII"
"95","HNG"
"96","HPG"
"97","HQC"
"98","HSG"
"99","HT1"
"100","HTI"
"101","HTT"
"102","HVG"
"103","HVN"
"104","IBC"
"105","IDC"
"106","IDI"
"107","IJC"
"108","IMP"
"109","ITA"
"110","ITD"
"111","JVC"
"112","KBC"
"113","KDC"
"114","KDH"
"115","KOS"
"116","KMR"
"117","KPF"
"118","KSB"
"119","KSH"
"120","LCG"
"121","LDG"
"122","LHG"
"123","LPB"
"124","LSS"
"125","MBB"
"126","MCH"
"127","MHC"
"128","MPC"
"129","MSN"
"130","MWG"
"131","NAF"
"132","NKG"
"133","NLG"
"134","NT2"
"135","NTC"
"136","NTL"
"137","NVL"
"138","NVT"
"139","OGC"
"140","PAC"
"141","PC1"
"142","PAN"
"143","PDR"
"144","PET"
"145","PHC"
"146","PHR"
"147","PLX"
"148","PLC"
"149","PNJ"
"150","PPC"
"151","PPI"
"152","PTB"
"153","PVC"
"154","PVD"
"155","PVS"
"156","PVT"
"157","PXL"
"158","PXS"
"159","PXT"
"160","QBS"
"161","QCG"
"162","QNS"
"163","REE"
"164","ROS"
"165","SAB"
"166","S99"
"167","SAM"
"168","SBS"
"169","SBT"
"170","SCR"
"171","SHA"
"172","SHI"
"173","SJD"
"174","SJF"
"175","SJS"
"176","SKG"
"177","SKH"
"178","SRF"
"179","SSI"
"180","STB"
"181","STG"
"182","STK"
"183","TCH"
"184","TCM"
"185","TDG"
"186","TDC"
"187","TDH"
"188","THG"
"189","TLD"
"190","TLH"
"191","TNI"
"192","TNG"
"193","TOP"
"194","TS4"
"195","TSC"
"196","TTB"
"197","TTF"
"198","TVT"
"199","VC3"
"200","VCB"
"201","VCI"
"202","VCP"
"203","VDS"
"204","VGG"
"205","VGT"
"206","VHC"
"207","VHG"
"208","VIB"
"209","VIC"
"210","VIP"
"211","VJC"
"212","VMC"
"213","VND"
"214","VNE"
"215","VNG"
"216","VNM"
"217","VPB"
"218","VOS"
"219","VRE"
"220","VRC"
"221","VSC"
"222","VTO"
